data,produto,quantidade,preco_unitario,total venda
2/9/2024,Blender Bottle,17,12485,212245
2/20/2023,Puff Pastry,86,3970,341420
5/12/2024,Portable Charcoal Grill,11,5741,63151
6/14/2023,Portable Solar Phone Charger,52,8155,424060
11/11/2022,Adjustable Standing Desk,87,11439,995193
1/30/2025,Snap-On Tupperware Set,39,16137,629343
4/29/2023,Bike Helmet,96,13317,1278432
12/24/2023,Cinnamon Sugar Tortilla Chips,17,1530,26010
7/24/2024,Window Blinds,71,12136,861656
2/12/2023,Smart Thermostat,71,11606,824026
3/18/2023,Classic Slim Fit Shirt,24,16446,394704
12/17/2024,Over-the-Door Shoe Organizer,15,8395,125925
9/10/2022,Silicone Baking Mats,70,194,13580
12/28/2022,Peach Mango Smoothie,21,10535,221235
12/19/2022,Leek and Potato Soup,96,110,10560
5/2/2024,Deluxe First Aid Kit,97,11866,1151002
3/7/2023,Mint Chocolate Chip Ice Cream,98,9930,973140
10/17/2023,Lockable Bicycle Chain,30,11379,341370
10/6/2024,Cranberry Lime Sparkling Water,70,16764,1173480
12/19/2024,Chipotle Sauce,70,17755,1242850
2/18/2025,Electric Razor,36,13456,484416
2/12/2025,Gardening Tool Belt,88,7497,659736
8/6/2023,Almond Butter Crunch Bar,99,1739,172161
2/5/2025,Hand Mixer,23,19026,437598
12/16/2023,Breathable Face Mask Set,29,12708,368532
2/3/2025,Kale Salad Kit,48,19313,927024
3/4/2023,Microfiber Cleaning Cloth Set,35,14458,506030
5/17/2024,Herbal Tea Infuser,67,7425,497475
11/18/2023,Crispy Kale Chips,61,17810,1086410
5/24/2023,Tandoori Chicken Skewers,80,16953,1356240
5/29/2024,Sesame Seeds,68,4945,336260
1/17/2025,Peanut Butter Chocolate Clusters,35,1553,54355
11/19/2023,Hibiscus Tea Bags,61,6594,402234
8/4/2024,Self-Cleaning Cat Litter Box,6,4886,29316
8/13/2024,Frozen Edamame,26,11978,311428
8/20/2023,Coconut Chips,80,2908,232640
2/9/2025,Crafting Kit,59,19469,1148671
2/12/2023,Eco-Friendly Disposable Plates,22,5401,118822
1/10/2023,LED Strip Light Kit,68,400,27200
1/13/2023,Honey Mustard Dip,98,16313,1598674
3/18/2023,Samoas Cookie Mix,39,2206,86034
10/13/2023,Indoor Grill,85,11076,941460
11/13/2023,Cacao Nibs,49,18935,927815
1/7/2023,Digital Wireless Camera,25,2446,61150
4/6/2024,Chili Lime Shrimp,34,6305,214370
8/22/2024,Spinach Artichoke Dip,3,19591,58773
1/10/2025,Multifunctional Baby Bottle Warmer,36,16680,600480
1/20/2025,Fruit Medley Juice,54,19906,1074924
1/9/2024,Fitness Tracker,75,7756,581700
2/22/2025,Coconut Rice,42,13842,581364
11/26/2024,Wooden Puzzle Game,35,1649,57715
6/25/2023,Pizza Stone,18,18699,336582
10/25/2024,Car Trash Can,83,6086,505138
12/10/2022,Artisan Cornbread Mix,11,6538,71918
10/10/2024,Ground Turkey,100,13542,1354200
4/4/2023,Chewy Granola Bars,93,8901,827793
12/18/2022,Coconut Macaroons,60,13617,817020
4/24/2024,Peach Halves (canned),67,1592,106664
4/28/2024,Adjustable Window Blind,93,12244,1138692
11/8/2023,Nut Butter Cups,53,17946,951138
10/10/2022,Rustic Italian Breads,62,3763,233306
11/4/2024,Coffee Making Kit,67,3190,213730
11/25/2023,Portable Speakers,68,5435,369580
10/27/2023,Sporty Cap,34,916,31144
10/4/2023,Bamboo Toothbrush,44,5559,244596
8/16/2023,Organic Spinach,89,6881,612409
2/9/2023,LED Christmas Lights,42,5516,231672
11/28/2024,Ergonomic Mouse Pad with Wrist Support,39,5790,225810
1/6/2025,Ramen Noodles,9,4983,44847
4/20/2023,Smart Wi-Fi Camera,67,15801,1058667
12/18/2022,Fitness Balance Ball,100,18531,1853100
3/2/2023,Electric Fondue Pot,76,13319,1012244
8/17/2023,Slim Fit Chinos,77,16931,1303687
4/3/2024,Electric Skillet,5,3556,17780
1/22/2023,Gardening Gloves,17,15025,255425
6/2/2023,Sriracha Honey Glaze,93,14501,1348593
4/12/2023,Solar Garden Lights,17,17595,299115
5/6/2024,Mint Chocolate Chip Ice Cream,84,10345,868980
7/23/2023,Roasted Red Pepper Dip,63,5830,367290
3/3/2023,Silicone Baking Molds,58,8459,490622
9/30/2023,Apple Cinnamon Oatmeal,84,2460,206640
11/16/2022,Tea Infuser Bottle,45,19600,882000
11/18/2024,Stainless Steel Straws,55,11963,657965
2/16/2025,Electric Kettle,99,755,74745
1/21/2025,Dried Fruit Medley,35,17987,629545
10/20/2023,Cinnamon Sugar Tortilla Chips,35,10646,372610
3/10/2025,Travel Jewelry Case,91,2841,258531
4/26/2024,Bamboo Toothbrush Holder,74,18874,1396676
10/23/2023,Decorative Throw Pillows,64,12397,793408
6/28/2024,Aeropress Coffee Maker,52,5831,303212
9/22/2024,Baby Monitor,68,18561,1262148
5/26/2024,Asian Noodle Salad Kit,85,5755,489175
4/16/2024,Honeycrisp Apple Chips,99,19432,1923768
5/2/2024,Chocolate Mint Protein Shake,33,11347,374451
7/8/2024,Coconut Almond Granola,59,11190,660210
5/14/2023,Pet Safety Belt for Car,48,7692,369216
12/9/2022,Portable Solar Path Lights,31,9770,302870
7/11/2023,Chili Garlic Sauce,4,9632,38528
5/19/2023,Fitness Mat,63,1760,110880
11/22/2024,Spice Rack,82,4242,347844
11/5/2024,Peanut Butter Chocolate Chip Bars,53,11868,629004
4/14/2023,Pepper Jack Cheese Sticks,21,4056,85176
12/2/2023,Home Brewing Starter Kit,4,12104,48416
4/28/2023,Cotton Tote Bag Set,35,2456,85960
11/30/2022,Lemon Garlic Marinade,13,10305,133965
12/4/2023,Suede Ankle Booties,45,17460,785700
2/26/2025,Peach Salsa,79,16917,1336443
12/5/2023,Classic Slim Fit Shirt,1,6000,6000
10/4/2024,Cacao Nibs,40,17842,713680
7/8/2023,Dark Chocolate Almond Butter Cups,50,6435,321750
7/1/2024,Pet Safety Harness,5,12539,62695
2/11/2023,Magnet Travel Fridge Magnets,70,4863,340410
11/18/2024,Dish Rack,96,5838,560448
4/30/2023,Telescope,30,18095,542850
9/8/2024,Homestyle Beef Stew,87,15987,1390869
11/9/2024,Granola Bars,62,10306,638972
9/7/2024,Electric Griddle,18,5689,102402
2/18/2025,Sliced Ham,99,16322,1615878
6/30/2024,Pet Hair Removal Brush,77,13816,1063832
12/17/2023,Pet Grooming Kit,54,322,17388
7/28/2024,Adjustable Dumbbells,94,3839,360866
4/27/2024,Repair Tool Set for Home Improvement,62,7366,456692
9/30/2022,Vegan Mac & Cheese,6,4049,24294
12/14/2024,Puffer Winter Coat,7,7929,55503
5/16/2023,Organic Quinoa,67,2929,196243
1/29/2023,Black Bean Salsa,34,9832,334288
7/12/2023,Spice Rack,98,19614,1922172
5/2/2024,Belted Trench Coat,20,4653,93060
11/27/2023,Mini Hand Gesture Drone,21,2440,51240
7/25/2024,Tandoori Chicken Marinade,55,3121,171655
7/10/2024,Chili Lime Shrimp,30,2818,84540
12/6/2024,Chocolate Chip Energy Balls,87,2837,246819
7/31/2024,Organic Tomato Soup,3,10961,32883
11/12/2024,Dark Chocolate Covered Raisins,79,10906,861574
8/31/2023,Classic Leather Wallet,93,17318,1610574
4/2/2024,Classic Cheeseburger Mix,44,11404,501776
11/4/2024,Maple Bacon Potato Chips,1,10658,10658
11/28/2024,Digital Thermostat,56,310,17360
7/9/2023,Ceramic Cookware Set,2,4668,9336
1/8/2023,Watercolor Brush Pens,20,1618,32360
8/10/2023,Fresh Basil,69,6484,447396
11/21/2024,Golf Putting Green,14,13366,187124
12/12/2023,Comfy Slippers,98,18305,1793890
9/20/2024,Smartphone Photography Tripod,83,4930,409190
3/19/2024,Raisin Cinnamon Granola,50,5295,264750
3/11/2024,Customizable Name Plate,62,11560,716720
11/15/2023,Pecan Nuts,14,13271,185794
9/6/2023,Miso Dressing,56,13080,732480
9/1/2024,Portable Massage Gun,100,3098,309800
10/10/2024,Whole Grain Hamburger Buns,12,16885,202620
5/9/2023,Travel Pillow with Memory Foam,39,2430,94770
5/12/2024,Jump Rope with Counter,8,15198,121584
3/9/2024,Wi-Fi Enabled Smart Light Switch,1,17431,17431
3/5/2025,Pet Travel Bed,75,16711,1253325
1/2/2025,Oats,53,3720,197160
4/12/2024,Vegetarian Stuffed Peppers,29,8871,257259
12/27/2023,Wireless Charging Pad,29,16728,485112
10/23/2023,Oven Mitts with Pocket,11,19082,209902
12/10/2024,Almond Joy Snack Bars,76,12971,985796
9/21/2023,First Aid Kit,64,9520,609280
6/11/2023,Cat Scratching Post with Toys,96,1475,141600
6/4/2023,Cold Brew Coffee Maker,42,5136,215712
8/1/2023,BBQ Sauce,25,12543,313575
3/8/2024,Coconut Oil Spray,74,18696,1383504
8/3/2024,Oven-Baked Chicken Tenders,27,900,24300
1/2/2023,Magnetic Phone Car Mount,57,7430,423510
8/1/2024,Dried Cranberries,51,16218,827118
1/2/2024,Plant-Based Cookbook,18,15224,274032
5/30/2023,Smashed Avocado with Lime,3,7998,23994
3/15/2025,Caramelized Onion Dip,72,15656,1127232
7/5/2023,Peach Mango Smoothie,70,13500,945000
1/15/2024,Nutty Trail Mix,18,12007,216126
10/21/2024,Sliced Cheese,42,12747,535374
10/25/2024,Honey Nut Cheerios,82,8359,685438
9/8/2024,Vegetable Samosas,84,11905,1000020
9/18/2024,LED Flashlight with Rechargeable Batteries,67,1349,90383
7/9/2024,Canvas Wall Art,48,8437,404976
1/17/2024,Two-Tier Fruit Basket,47,15380,722860
6/7/2024,Mixed Nuts,37,2547,94239
2/18/2023,Telescope,44,17251,759044
5/9/2023,Whole Grain Mustard,42,4445,186690
6/8/2023,Folding Table,65,3988,259220
1/12/2025,Magnetic Spice Containers,15,4778,71670
9/18/2024,Bamboo Memory Foam Pillow,44,15357,675708
12/19/2023,Oversized Denim Shirt,68,11569,786692
4/17/2023,Digital Voice Recorder,99,17251,1707849
4/16/2023,Wireless Keyboard and Mouse Combo,47,9486,445842
9/21/2023,LED Strip Light Kit,68,19303,1312604
11/8/2024,Coconut Lime Rice,80,13968,1117440
6/3/2023,Smart WiFi Plug,8,12984,103872
3/7/2025,Oversized Denim Shirt,91,18600,1692600
1/3/2024,Backpacking Tent,39,5370,209430
7/10/2023,Portable Refrigerator Freezer,60,18967,1138020
11/9/2023,French Bread,52,4521,235092
6/1/2024,Ergonomic Mouse Pad with Wrist Support,14,8559,119826
7/17/2023,Electric Food Slicer,14,16322,228508
4/5/2023,Organic Black Beans,12,16118,193416
10/16/2022,Kale Salad with Lemon Dressing,84,16093,1351812
11/12/2024,Luxury Memory Foam Mattress Topper,9,2285,20565
11/27/2023,Electric Nail File Kit,42,5135,215670
7/20/2024,Brussels Sprouts,29,14548,421892
1/11/2024,Coconut Bowls Set,35,12025,420875
5/30/2024,Bamboo Cutting Board,34,3746,127364
5/19/2024,Creamy Ranch Dressing,88,14205,1250040
11/21/2022,Mini Indoor Herb Garden Kit,64,2018,129152
7/11/2023,Raspberry Tart,66,10879,718014
6/27/2023,Cotton Sweatpants,36,8396,302256
8/15/2024,Chickpeas,20,17763,355260
6/4/2024,Baking Soda,98,18401,1803298
9/9/2023,Beef Jerky,100,2487,248700
11/11/2023,Pet Training Pads,41,16165,662765
2/10/2024,Herbed Mushroom Risotto,52,3791,197132
3/13/2024,Caribbean Jerk Marinade,44,2625,115500
1/19/2023,Two-Tone Windbreaker,86,9598,825428
12/21/2024,Wireless Security System,52,1859,96668
8/24/2023,Coconut Rice,100,14920,1492000
2/25/2025,Savory Quinoa Pudding,35,9416,329560
7/10/2023,Adjustable Height Standing Desk Converter,11,18606,204666
9/14/2023,Truffle Parmesan Fries,86,3095,266170
12/24/2022,Mushrooms,41,18871,773711
11/1/2023,Dual Function Electric Skillet,16,5694,91104
10/10/2023,Pet Nail Clipper,32,13252,424064
5/2/2024,Sliced Cheese,66,6153,406098
7/6/2023,Electric Blanket,18,7737,139266
5/20/2024,Mini Air Hockey Table,81,260,21060
12/3/2023,Lightweight Workout Tank,33,2536,83688
9/28/2023,Fashionable Fanny Pack,79,11591,915689
12/19/2023,Baby Safety Corner Guards,35,1866,65310
6/11/2024,Bamboo Bathtub Caddy,9,8335,75015
2/6/2023,Rice Pilaf Mix,77,12458,959266
8/14/2024,Cordless Water Flosser,58,10733,622514
9/27/2022,Travel Document Organizer,55,884,48620
1/29/2023,Infrared Space Heater,28,11265,315420
12/26/2023,Chia Seeds,94,4392,412848
9/6/2024,Linen Trousers,58,10309,597922
2/28/2024,Honey Garlic Chicken,80,4908,392640
10/6/2022,Vanilla Almond Granola,21,7092,148932
7/5/2023,Nutty Trail Mix,77,4224,325248
2/29/2024,Ranch Dressing,6,10877,65262
8/31/2023,Kids' STEM Robotics Kit,80,19147,1531760
10/19/2022,Whisk Set,51,11260,574260
3/11/2025,Organic Brown Sugar,92,10591,974372
1/20/2023,Computer Monitor Stand,40,8452,338080
6/28/2023,Chicken Breasts,4,11980,47920
5/5/2023,Desk Organizer Set,16,8660,138560
7/25/2023,Foot Massager,91,628,57148
12/24/2024,Mediterranean Couscous,10,19627,196270
7/22/2024,Organic Almond Flour,32,19791,633312
1/21/2025,Smoked Paprika,63,4903,308889
10/30/2024,Golf Putting Green,74,3098,229252
6/22/2023,Natural Soy Candles,10,17132,171320
4/27/2024,Couscous Mix,13,16292,211796
11/9/2023,Suction Cup Hooks,54,2502,135108
12/30/2023,Herb Seasoned Couscous,86,18666,1605276
1/23/2025,Organic Baby Carrots,59,6851,404209
8/29/2024,Hot Salsa,96,8079,775584
10/13/2024,Vegetable Stir Fry Mix,64,11031,705984
1/20/2024,Asian Salad Mix,15,15544,233160
12/14/2023,Collapsible Camping Cup,74,1755,129870
6/26/2023,Kettle Corn Popcorn,81,5395,436995
3/5/2025,Cinnamon Spiced Almonds,94,11041,1037854
6/2/2023,Portable Air Purifier,41,17102,701182
12/25/2023,Classic Pesto Sauce,5,290,1450
12/17/2024,Insulated Wine Tote,15,16820,252300
2/6/2025,Magnetic Phone Case,4,5233,20932
12/21/2024,Frozen Hash Browns,29,8513,246877
11/8/2022,LED Desk Light,34,11249,382466
5/9/2024,Couscous Mix,59,5452,321668
7/21/2024,Chocolate Mint Cookies,52,14805,769860
12/23/2023,Heavy-Duty Utility Tote,64,5371,343744
5/11/2023,Sushi Rice,96,19206,1843776
7/23/2024,Kids' Activity Book,24,13333,319992
8/18/2024,Wire Shelving Unit,68,14729,1001572
12/1/2022,Elderberry Syrup Kit,19,11652,221388
11/9/2023,Collapsible Storage Crates,45,8069,363105
12/18/2023,Heart-Shaped Baking Molds,52,6869,357188
7/30/2023,Window Bird Feeder,22,2945,64790
12/17/2022,USB-C Hub,47,18695,878665
3/3/2024,Reusable Food Storage Bags,26,17598,457548
5/17/2023,Plant Pot Drip Trays,86,13605,1170030
8/30/2024,Adjustable Pedicure Footrest,49,19556,958244
11/5/2024,Cucumber,29,16236,470844
9/13/2024,Smartphone Projector,74,13639,1009286
3/18/2024,Blue Denim Jeans,89,7524,669636
5/15/2023,Two-Tone Windbreaker,73,6660,486180
3/31/2025,Comfy Slippers,7,11451,80157
2/11/2024,Oven Thermometer,43,4677,201111
12/27/2024,Bike Repair Tool Kit,74,18367,1359158
5/3/2024,Garden Hose,74,15575,1152550
10/27/2024,Pumpkin Spice Granola,66,2199,145134
5/16/2023,Frozen Salmon Filets,78,15629,1219062
11/5/2024,Coloring Books for Adults,14,17103,239442
1/31/2024,Buffalo Style Cauliflower Bites,6,631,3786
4/19/2023,Fitness Smartwatch,52,16042,834184
9/11/2022,Bird Feeder,92,7293,670956
10/3/2024,Pear and Gorgonzola Salad,61,11353,692533
9/13/2024,Casual Sneakers,79,2167,171193
11/30/2024,Saffron Rice Mix,4,17213,68852
4/28/2024,Fruit Medley Juice,38,7415,281770
9/19/2024,Stuffed Bell Peppers,45,18504,832680
4/15/2023,Smartphone Photography Ring Light,47,4056,190632
9/3/2023,Pleated Midi Dress,94,7529,707726
11/16/2022,Garlic Herb Grilled Chicken,38,2609,99142
1/21/2025,Rechargeable Battery Organizer,84,12508,1050672
11/12/2023,Noise Reduction Headphones,20,13585,271700
10/27/2023,Frozen Cauliflower Rice,33,3941,130053
7/23/2023,Stainless Steel Cutlery Set,60,19894,1193640
3/24/2025,Puzzle Game Set,39,13179,513981
9/15/2023,Frozen Spinach,49,820,40180
4/12/2023,Beef Chili,47,6187,290789
5/4/2024,Laptop Stand,97,16433,1594001
6/28/2024,Portable Folding Picnic Table,17,5320,90440
6/18/2023,Tuscan Bean Soup,91,2357,214487
12/30/2022,Natural Peanut Butter,34,1583,53822
12/14/2024,Vegetable Broth,80,7586,606880
3/25/2025,Tandoori Chicken Skewers,96,3309,317664
6/26/2024,Strawberry Rhubarb Jam,8,19168,153344
9/29/2024,Portable Leaf Blower,39,936,36504
12/5/2024,Coloring Books for Adults,13,8666,112658
2/1/2023,Garlic Parmesan Roasted Nuts,35,5117,179095
4/24/2023,Smart Air Purifier,37,19174,709438
11/15/2022,Comfortable Bed Pillow,37,18836,696932
12/13/2023,Crispy Onion Rings,12,18493,221916
12/22/2022,Arcade Game Machine,97,8952,868344
2/4/2024,Sweet Potatoes,30,12948,388440
12/29/2022,Memory Card,2,12772,25544
3/27/2023,Denim Jacket,96,10691,1026336
1/15/2024,Electric Can Opener,85,2033,172805
1/31/2024,Pet Carrier,86,18463,1587818
8/29/2024,Outdoor Camping Hammock,73,14949,1091277
4/7/2024,Lemon Garlic Marinade,81,19332,1565892
3/31/2025,Cajun Seasoning,58,5211,302238
11/27/2023,Gluten-Free Bread,3,16992,50976
1/8/2024,Organic Whole Wheat Flour,32,10224,327168
2/4/2024,Chocolate Mint Thins,11,13552,149072
9/19/2023,Artisan Pickles,41,13320,546120
3/24/2025,Terry Cloth Robe,4,5360,21440
8/22/2023,Heated Throw Blanket,77,7839,603603
12/12/2022,Fresh Lemons,68,16486,1121048
11/7/2023,Classic Pumps,29,16490,478210
12/23/2023,Golf Putting Green,73,4801,350473
12/17/2023,Electric Ice Cream Maker,43,2662,114466
11/15/2024,Smoked Gouda Cheese,65,16156,1050140
3/12/2025,Solar Garden Lights,22,13863,304986
9/5/2023,Spinach and Cheese Stuffed Shells,42,14371,603582
7/14/2023,Pet Grooming Brush,59,9387,553833
10/22/2023,Pork Chops,41,6373,261293
12/13/2024,Silicone Baking Mats,56,12406,694736
4/6/2024,Travel Pillow,98,1155,113190
3/4/2025,Coconut Lime Rice,39,1858,72462
1/27/2025,Frozen Berry Blend,28,17386,486808
5/7/2023,Baked Mac and Cheese,22,1266,27852
11/21/2022,Magic Color-Changing Mug,100,10651,1065100
10/5/2022,Portable SSD,86,6143,528298
11/25/2024,Miso Dressing,11,15380,169180
11/20/2024,Vegetable Stir-Fry Kit,12,10855,130260
5/28/2023,Kale Caesar Salad Kit,4,16926,67704
2/21/2024,Crispy Tofu Bites,16,722,11552
10/7/2024,Elderberry Syrup Kit,75,11237,842775
10/27/2023,Asian Stir-Fry Kit,47,701,32947
8/25/2024,Rainbow Veggie Chips,43,7286,313298
4/8/2024,Pasta Primavera Kit,77,922,70994
9/18/2023,Herbal Tea Set,10,7124,71240
11/20/2023,Herb Garlic Butter,79,12219,965301
9/25/2024,Skincare Set,50,12104,605200
10/20/2024,Travel Document Organizer,5,6252,31260
2/21/2024,Cheddar Cheese Crackers,29,3717,107793
7/25/2024,Organic Vanilla Bean Ice Cream,68,1650,112200
3/19/2025,Peach Halves (canned),64,10225,654400
10/17/2024,Italian Meatballs,38,4033,153254
2/12/2024,Honey BBQ Riblets,85,10555,897175
10/15/2022,Portable Ice Maker,90,3773,339570
12/17/2023,Stainless Steel Travel Mug,44,6827,300388
3/8/2025,Set of Silicone Baking Molds,9,13528,121752
5/10/2023,Electric Wax Warmer,89,9125,812125
6/21/2024,Organic Tomato Ketchup,99,9963,986337
12/22/2022,Trackpad for Laptop,21,19813,416073
10/16/2024,Vegetable Broth,62,7463,462706
2/25/2024,Wall-Mounted Bookshelf,95,3909,371355
6/3/2024,Car Vacuum Cleaner,35,3687,129045
11/9/2022,Lemon Lime Sparkling Water,22,4039,88858
6/1/2024,Insulated Wine Tote,50,5676,283800
8/20/2024,Kale Caesar Salad Kit,10,15309,153090
10/29/2022,Gluten-Free Biscuits,34,18664,634576
8/8/2024,Chic Jumpsuit,90,12295,1106550
9/15/2024,Wireless Earbuds Case,26,3183,82758
9/20/2022,Classic Chicken Noodle Soup,40,10491,419640
1/27/2024,Spicy Salsa Verde,2,7255,14510
9/22/2023,Berries Medley,97,5750,557750
10/5/2023,Roasted Red Pepper Sauce,85,19403,1649255
1/22/2023,Frozen Pizza,23,4657,107111
11/2/2024,Children's Art Set,38,1965,74670
2/25/2023,Spicy Beef Taco Mix,41,8733,358053
5/22/2024,Sooji (Semolina),21,15544,326424
9/9/2024,Electric Egg Cooker,78,14354,1119612
9/19/2024,Motion Sensor Light,42,4749,199458
8/13/2023,Cereal Dispenser with Portion Control,22,4413,97086
3/23/2024,Magnetic Screen Door,70,9665,676550
12/25/2022,Classic Caesar Salad Kit,83,15911,1320613
12/10/2023,LED Desk Lamp with USB Charging,89,16452,1464228
2/10/2024,Garden Kneeler and Seat,20,206,4120
11/10/2023,Cereal Dispenser with Portion Control,35,8080,282800
11/4/2023,Children's Art Set,44,8579,377476
11/2/2022,Buffalo Wing Sauce,86,18957,1630302
4/17/2023,Kale & Quinoa Salad Mix,67,4121,276107
5/27/2023,Striped Long Sleeve Shirt,17,19273,327641
10/12/2023,Beard Grooming Kit,81,6974,564894
8/21/2023,Organic Whole Grain Oats,78,13794,1075932
3/15/2024,Travel Size Toiletry Bottles,72,14983,1078776
12/5/2023,Organic Coconut Flour,34,13117,445978
9/3/2024,Chia Seed Pudding Mix,61,13812,842532
1/24/2024,Zucchini,54,2804,151416
10/21/2023,Cold Brew Coffee Maker,78,16580,1293240
5/11/2023,Chili Con Carne Mix,51,12644,644844
10/6/2023,Savory Italian Herbs,64,14516,929024
10/6/2023,Spicy Tuna Salad,97,10304,999488
8/17/2024,Oven-Baked Chicken Tenders,34,11542,392428
2/13/2025,Hummus Variety Pack,48,19586,940128
12/2/2023,Electric Ice Cream Maker,85,11423,970955
6/5/2023,Collapsible Storage Crates,79,10584,836136
5/6/2023,Nature Explorer Lens Kit,37,17138,634106
5/7/2023,Casual Long Cardigan,65,13837,899405
2/9/2024,Memory Foam Mattress Pad,93,1943,180699
11/25/2024,Pet Hair Removal Brush,53,19589,1038217
1/6/2023,Truffle Parmesan Fries,83,16523,1371409
2/12/2024,Handcrafted Wooden Coasters,1,1048,1048
11/18/2024,Savory Pumpkin Soup,62,4574,283588
12/11/2022,Teriyaki Stir-Fry Sauce,41,131,5371
1/14/2023,Coconut Rice,47,11551,542897
12/7/2023,Ethical Wool Scarf,20,4992,99840
12/16/2022,Sea Salt Caramel Popcorn,40,15315,612600
11/8/2024,Ice Cream,27,19797,534519
8/29/2023,Non-Toxic Concrete Sealer,63,14818,933534
8/16/2023,Mini Pretzels,72,2380,171360
6/23/2023,Classic White T-Shirt,37,8568,317016
11/24/2024,Sun-Dried Tomatoes,62,1993,123566
11/20/2022,Acoustic Guitar,18,9489,170802
8/21/2024,Miso Soup Starter,5,9345,46725
2/28/2024,Classic BBQ Sauce,27,18416,497232
1/27/2023,Instant Pot,12,14810,177720
2/12/2024,Organic Brown Rice Cakes,74,5572,412328
11/7/2023,Buffalo Style Cauliflower Bites,10,7309,73090
9/2/2022,Electric Heat Pad,71,7891,560261
3/20/2025,Mediterranean Olives,41,3655,149855
7/30/2023,Mint Chocolate Chip Ice Cream,16,8569,137104
11/19/2023,Whole Wheat Bread,77,18064,1390928
12/26/2024,Traditional Hummus,27,13204,356508
7/2/2023,Basil Pesto Pasta,91,2849,259259
3/31/2023,Almond Flour Bread Mix,5,3559,17795
1/24/2024,Aeropress Coffee Maker,79,14753,1165487
8/28/2024,Honey Wheat Pretzels,31,3829,118699
9/29/2022,Rechargeable Hand Warmer,4,3243,12972
12/13/2022,Self-Adhesive Wallpaper,4,11646,46584
5/19/2024,Smoked Salmon,64,6322,404608
9/11/2024,Sporty Slide Sandals,95,5553,527535
11/14/2022,Knitted Infinity Scarf,91,6542,595322
9/30/2024,Bluetooth Headphones,39,12875,502125
4/27/2024,Board Game Storage,35,18226,637910
9/12/2023,Classic White T-Shirt,34,6932,235688
12/22/2024,Portable Solar Charger,69,11391,785979
7/10/2024,Two-Tone Windbreaker,97,4984,483448
11/15/2022,Hiking Boots,81,9399,761319
8/7/2024,Jigsaw Puzzle,66,8437,556842
12/2/2024,Marinated Artichokes,64,16495,1055680
6/2/2024,Fishing Rod,85,6930,589050
12/4/2023,Fruit Medley Juice,62,12075,748650
1/31/2024,Cinnamon Sugar Mix,95,8803,836285
4/9/2023,Fitness Tracker Band,77,9027,695079
1/26/2025,Pet Travel Backpack Carrier,78,16705,1302990
9/10/2023,Essential Oil Diffuser,75,17695,1327125
11/7/2022,Fall-Themed Table Runner,80,13164,1053120
5/11/2023,Aged White Cheddar Popcorn,52,16303,847756
6/9/2024,Pumpkin Spice Muffins,50,6407,320350
8/4/2023,Oven-Baked Potato Chips,40,16277,651080
1/19/2023,Portable Solar Phone Charger,66,9603,633798
6/27/2023,Banana Chips,95,7429,705755
8/10/2024,Multi-Purpose Scissors,54,5640,304560
2/5/2025,Electric Bike,2,11486,22972
9/23/2023,Tattoo Kit,68,13264,901952
3/5/2025,Stick Vacuums Cleaner,77,15330,1180410
10/19/2022,Organic Black Beans,71,4876,346196
